Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,0,4,$0.00,$0.00
1 am – 2 am,3,6,$0.27,$0.81
2 am – 3 am,3,22,$0.35,$1.05
3 am – 4 am,1,25,$0.13,$0.13
4 am – 5 am,1,16,$0.30,$0.30
5 am – 6 am,4,20,$0.29,$1.14
6 am – 7 am,0,1,$0.00,$0.00
7 am – 8 am,1,3,$0.11,$0.11
8 am – 9 am,1,3,$0.20,$0.20
9 am – 10 am,0,5,$0.00,$0.00
10 am – 11 am,0,4,$0.00,$0.00
11 am – 12 pm,1,3,$0.24,$0.24
12 pm – 1 pm,0,3,$0.00,$0.00
1 pm – 2 pm,0,8,$0.00,$0.00
2 pm – 3 pm,0,6,$0.00,$0.00
3 pm – 4 pm,5,22,$0.18,$0.90
4 pm – 5 pm,0,22,$0.00,$0.00
5 pm – 6 pm,25,342,$0.28,$6.88
6 pm – 7 pm,0,0,$0.00,$0.00
7 pm – 8 pm,0,0,$0.00,$0.00
8 pm – 9 pm,0,0,$0.00,$0.00
9 pm – 10 pm,0,0,$0.00,$0.00
10 pm – 11 pm,0,0,$0.00,$0.00
11 pm – 12 am,0,0,$0.00,$0.00
