Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,2,20,$0.09,$0.18
1 am – 2 am,6,36,$0.16,$0.94
2 am – 3 am,4,21,$0.19,$0.75
3 am – 4 am,3,39,$0.20,$0.59
4 am – 5 am,5,52,$0.22,$1.12
5 am – 6 am,1,32,$0.12,$0.12
6 am – 7 am,3,36,$0.19,$0.58
7 am – 8 am,2,24,$0.13,$0.27
8 am – 9 am,1,13,$0.20,$0.20
9 am – 10 am,2,18,$0.20,$0.40
10 am – 11 am,5,22,$0.19,$0.96
11 am – 12 pm,1,20,$0.14,$0.14
12 pm – 1 pm,1,16,$0.10,$0.10
1 pm – 2 pm,4,10,$0.20,$0.79
2 pm – 3 pm,3,15,$0.23,$0.70
3 pm – 4 pm,1,20,$0.13,$0.13
4 pm – 5 pm,0,9,$0.00,$0.00
5 pm – 6 pm,0,8,$0.00,$0.00
6 pm – 7 pm,0,12,$0.00,$0.00
7 pm – 8 pm,0,19,$0.00,$0.00
8 pm – 9 pm,3,14,$0.19,$0.56
9 pm – 10 pm,86,"1,639",$0.25,$21.26
10 pm – 11 pm,7,73,$0.30,$2.07
11 pm – 12 am,0,0,$0.00,$0.00
