Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,6,51,$0.23,$1.37
1 am – 2 am,6,22,$0.12,$0.70
2 am – 3 am,2,14,$0.17,$0.33
3 am – 4 am,0,12,$0.00,$0.00
4 am – 5 am,2,17,$0.49,$0.98
5 am – 6 am,1,12,$0.07,$0.07
6 am – 7 am,3,7,$0.15,$0.46
7 am – 8 am,0,1,$0.00,$0.00
8 am – 9 am,0,0,$0.00,$0.00
9 am – 10 am,1,12,$0.22,$0.22
10 am – 11 am,0,13,$0.00,$0.00
11 am – 12 pm,1,1,$0.17,$0.17
12 pm – 1 pm,1,9,$0.32,$0.32
1 pm – 2 pm,0,5,$0.00,$0.00
2 pm – 3 pm,1,3,$0.18,$0.18
3 pm – 4 pm,0,5,$0.00,$0.00
4 pm – 5 pm,0,0,$0.00,$0.00
5 pm – 6 pm,0,2,$0.00,$0.00
6 pm – 7 pm,0,3,$0.00,$0.00
7 pm – 8 pm,62,"1,462",$0.35,$21.62
8 pm – 9 pm,2,24,$0.14,$0.29
9 pm – 10 pm,5,97,$0.16,$0.81
10 pm – 11 pm,0,0,$0.00,$0.00
11 pm – 12 am,0,0,$0.00,$0.00
