Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,1,30,$0.83,$0.83
1 am – 2 am,2,33,$0.75,$1.49
2 am – 3 am,2,20,$0.65,$1.29
3 am – 4 am,1,12,$0.60,$0.60
4 am – 5 am,2,7,$0.55,$1.09
5 am – 6 am,0,5,$0.00,$0.00
6 am – 7 am,0,4,$0.00,$0.00
7 am – 8 am,0,1,$0.00,$0.00
8 am – 9 am,1,7,$0.32,$0.32
9 am – 10 am,0,14,$0.00,$0.00
10 am – 11 am,3,16,$0.49,$1.48
11 am – 12 pm,2,45,$0.42,$0.84
12 pm – 1 pm,9,47,$0.82,$7.34
1 pm – 2 pm,2,92,$0.75,$1.49
2 pm – 3 pm,5,101,$0.65,$3.25
3 pm – 4 pm,0,0,$0.00,$0.00
4 pm – 5 pm,0,0,$0.00,$0.00
5 pm – 6 pm,0,0,$0.00,$0.00
6 pm – 7 pm,0,0,$0.00,$0.00
7 pm – 8 pm,0,0,$0.00,$0.00
8 pm – 9 pm,0,0,$0.00,$0.00
9 pm – 10 pm,0,0,$0.00,$0.00
10 pm – 11 pm,0,0,$0.00,$0.00
11 pm – 12 am,0,0,$0.00,$0.00
