Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,1,25,$1.11,$1.11
1 am – 2 am,1,30,$0.25,$0.25
2 am – 3 am,0,8,$0.00,$0.00
3 am – 4 am,1,11,$0.90,$0.90
4 am – 5 am,1,6,$0.71,$0.71
5 am – 6 am,0,11,$0.00,$0.00
6 am – 7 am,0,9,$0.00,$0.00
7 am – 8 am,1,13,$0.97,$0.97
8 am – 9 am,0,9,$0.00,$0.00
9 am – 10 am,2,26,$0.67,$1.34
10 am – 11 am,1,23,$1.05,$1.05
11 am – 12 pm,2,23,$0.63,$1.25
12 pm – 1 pm,1,32,$0.96,$0.96
1 pm – 2 pm,6,24,$0.80,$4.77
2 pm – 3 pm,3,20,$0.55,$1.64
3 pm – 4 pm,2,20,$0.54,$1.07
4 pm – 5 pm,2,26,$1.01,$2.02
5 pm – 6 pm,2,20,$0.92,$1.84
6 pm – 7 pm,0,0,$0.00,$0.00
7 pm – 8 pm,0,0,$0.00,$0.00
8 pm – 9 pm,0,0,$0.00,$0.00
9 pm – 10 pm,0,0,$0.00,$0.00
10 pm – 11 pm,0,0,$0.00,$0.00
11 pm – 12 am,0,0,$0.00,$0.00
