Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,2,26,$0.75,$1.49
1 am – 2 am,1,10,$0.47,$0.47
2 am – 3 am,2,16,$0.59,$1.18
3 am – 4 am,1,5,$0.17,$0.17
4 am – 5 am,0,11,$0.00,$0.00
5 am – 6 am,1,8,$0.18,$0.18
6 am – 7 am,0,7,$0.00,$0.00
7 am – 8 am,2,16,$0.53,$1.06
8 am – 9 am,1,4,$0.20,$0.20
9 am – 10 am,1,12,$0.14,$0.14
10 am – 11 am,1,28,$0.19,$0.19
11 am – 12 pm,1,39,$0.52,$0.52
12 pm – 1 pm,5,37,$0.40,$1.99
1 pm – 2 pm,2,36,$0.41,$0.82
2 pm – 3 pm,5,43,$0.54,$2.71
3 pm – 4 pm,3,24,$0.65,$1.96
4 pm – 5 pm,4,35,$0.46,$1.85
5 pm – 6 pm,1,27,$0.15,$0.15
6 pm – 7 pm,1,31,$0.69,$0.69
7 pm – 8 pm,3,57,$0.23,$0.68
8 pm – 9 pm,4,108,$0.38,$1.54
9 pm – 10 pm,4,70,$0.77,$3.07
10 pm – 11 pm,1,3,$0.76,$0.76
11 pm – 12 am,0,0,$0.00,$0.00
