Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,0,1,$0.00,$0.00
1 am – 2 am,0,1,$0.00,$0.00
2 am – 3 am,0,1,$0.00,$0.00
3 am – 4 am,0,0,$0.00,$0.00
4 am – 5 am,0,0,$0.00,$0.00
5 am – 6 am,0,0,$0.00,$0.00
6 am – 7 am,0,1,$0.00,$0.00
7 am – 8 am,0,1,$0.00,$0.00
8 am – 9 am,0,4,$0.00,$0.00
9 am – 10 am,0,16,$0.00,$0.00
10 am – 11 am,0,5,$0.00,$0.00
11 am – 12 pm,1,13,$0.51,$0.51
12 pm – 1 pm,0,11,$0.00,$0.00
1 pm – 2 pm,0,31,$0.00,$0.00
2 pm – 3 pm,0,51,$0.00,$0.00
3 pm – 4 pm,1,65,$8.37,$8.37
4 pm – 5 pm,0,46,$0.00,$0.00
5 pm – 6 pm,0,40,$0.00,$0.00
6 pm – 7 pm,0,57,$0.00,$0.00
7 pm – 8 pm,0,68,$0.00,$0.00
8 pm – 9 pm,1,66,$1.94,$1.94
9 pm – 10 pm,0,120,$0.00,$0.00
10 pm – 11 pm,1,148,$3.14,$3.14
11 pm – 12 am,1,100,$5.23,$5.23
