Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,0,60,$0.00,$0.00
1 am – 2 am,0,21,$0.00,$0.00
2 am – 3 am,0,18,$0.00,$0.00
3 am – 4 am,0,13,$0.00,$0.00
4 am – 5 am,0,14,$0.00,$0.00
5 am – 6 am,0,23,$0.00,$0.00
6 am – 7 am,2,77,$5.20,$10.40
7 am – 8 am,0,57,$0.00,$0.00
8 am – 9 am,0,77,$0.00,$0.00
9 am – 10 am,1,106,$3.46,$3.46
10 am – 11 am,0,76,$0.00,$0.00
11 am – 12 pm,0,137,$0.00,$0.00
12 pm – 1 pm,0,128,$0.00,$0.00
1 pm – 2 pm,2,170,$3.76,$7.52
2 pm – 3 pm,2,208,$0.86,$1.72
3 pm – 4 pm,2,250,$0.20,$0.40
4 pm – 5 pm,1,212,$0.60,$0.60
5 pm – 6 pm,7,715,$0.10,$0.67
6 pm – 7 pm,11,"1,290",$0.61,$6.68
7 pm – 8 pm,8,786,$0.84,$6.74
8 pm – 9 pm,5,308,$0.16,$0.80
9 pm – 10 pm,0,0,$0.00,$0.00
10 pm – 11 pm,0,0,$0.00,$0.00
11 pm – 12 am,0,0,$0.00,$0.00
