Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,2,204,$2.23,$4.45
1 am – 2 am,0,46,$0.00,$0.00
2 am – 3 am,0,23,$0.00,$0.00
3 am – 4 am,0,12,$0.00,$0.00
4 am – 5 am,0,7,$0.00,$0.00
5 am – 6 am,0,20,$0.00,$0.00
6 am – 7 am,0,36,$0.00,$0.00
7 am – 8 am,1,106,$10.38,$10.38
8 am – 9 am,0,34,$0.00,$0.00
9 am – 10 am,0,41,$0.00,$0.00
10 am – 11 am,0,218,$0.00,$0.00
11 am – 12 pm,1,397,$1.37,$1.37
12 pm – 1 pm,4,615,$0.74,$2.94
1 pm – 2 pm,0,415,$0.00,$0.00
2 pm – 3 pm,0,342,$0.00,$0.00
3 pm – 4 pm,2,363,$0.08,$0.16
4 pm – 5 pm,1,291,$0.13,$0.13
5 pm – 6 pm,1,306,$0.24,$0.24
6 pm – 7 pm,1,184,$0.94,$0.94
7 pm – 8 pm,0,166,$0.00,$0.00
8 pm – 9 pm,0,240,$0.00,$0.00
9 pm – 10 pm,0,414,$0.00,$0.00
10 pm – 11 pm,4,212,$0.76,$3.03
11 pm – 12 am,0,0,$0.00,$0.00
